1000	17	352	5921	9790	3869
1000	23	381	7787	9452	1665
1000	42	369	7514	7760	246
1000	32	364	6519	9658	3139
1000	65	380	6889	10024	3135
1000	13	368	8434	9977	1543
1000	33	368	7584	9507	1923
1000	19	376	6052	9829	3777
1000	42	361	8010	10846	2836
1000	29	380	7044	9806	2762
1000	9	354	6575	10180	3605
1000	37	366	7210	11161	3951
1000	45	371	7663	8803	1140
1000	43	369	8415	9316	901
1000	50	362	8409	10055	1646
1000	21	344	7709	12160	4451
1000	20	361	7392	8229	837
1000	56	369	7592	8724	1132
1000	32	369	5793	8632	2839
1000	50	358	11519	12467	948
1000	39	364	7071	11568	4497
1000	80	387	6950	7985	1035
1000	38	379	6231	11403	5172
1000	26	362	7489	8866	1377
1000	57	366	8334	11949	3615
1000	51	383	8352	10454	2102
1000	48	372	8793	10055	1262
1000	31	365	8595	9527	932
1000	16	362	7354	10062	2708
1000	25	359	6528	8600	2072
1000	60	375	7376	9334	1958
1000	16	374	10152	10556	404
1000	20	354	7067	9738	2671
1000	52	367	7389	10665	3276
1000	60	381	6060	8485	2425
1000	55	383	7312	10450	3138
1000	44	354	6879	13342	6463
1000	23	348	5587	7837	2250
1000	28	404	6906	8723	1817
1000	43	347	7291	8384	1093
1000	49	395	7779	9569	1790
1000	98	373	6968	9304	2336
1000	49	358	8303	12564	4261
1000	96	367	7142	8499	1357
1000	44	353	10108	11697	1589
1000	32	376	7897	9204	1307
1000	11	350	7041	8959	1918
1000	33	360	10068	10672	604
1000	34	358	12490	15971	3481
1000	43	356	6143	8666	2523
2000	56	744	16466	17358	892
2000	51	759	16532	18050	1518
2000	45	750	19304	19630	326
2000	29	740	14510	21043	6533
2000	21	763	16986	20347	3361
2000	87	734	14683	21192	6509
2000	43	738	16972	22361	5389
2000	26	735	14316	23401	9085
2000	27	755	15750	18601	2851
2000	8	728	14811	22242	7431
2000	54	742	16690	20028	3338
2000	59	766	15659	20392	4733
2000	58	740	14668	15970	1302
2000	78	757	20159	28165	8006
2000	76	729	13155	22562	9407
2000	79	720	18111	21616	3505
2000	31	735	17273	23782	6509
2000	22	730	13297	18496	5199
2000	53	742	16081	19043	2962
2000	63	709	19557	20597	1040
2000	22	738	16413	23496	7083
2000	28	717	17068	19120	2052
2000	26	732	17352	19944	2592
2000	61	726	16001	23697	7696
2000	61	756	13536	20945	7409
2000	48	734	18953	22473	3520
2000	29	738	15848	17194	1346
2000	37	749	17564	23918	6354
2000	75	742	12590	18452	5862
2000	22	748	15098	23756	8658
2000	66	753	14865	19941	5076
2000	58	743	15049	21269	6220
2000	63	747	14209	26192	11983
2000	49	744	18068	26527	8459
2000	134	747	14627	18051	3424
2000	64	727	16853	19871	3018
2000	22	717	16440	23568	7128
2000	112	740	15708	19019	3311
2000	31	719	17370	19205	1835
2000	52	701	14756	20890	6134
2000	72	738	15661	18119	2458
2000	74	746	19271	20142	871
2000	43	739	13725	22097	8372
2000	41	729	14407	17347	2940
2000	17	737	19083	20789	1706
2000	54	727	14465	25144	10679
2000	13	747	17720	21025	3305
2000	41	743	14987	18090	3103
2000	67	748	14556	23315	8759
2000	21	720	15906	18923	3017
3000	89	1118	23949	27937	3988
3000	178	1148	22897	31383	8486
3000	75	1086	26859	29560	2701
3000	88	1096	24527	31036	6509
3000	29	1082	25677	29712	4035
3000	95	1109	24879	33275	8396
3000	101	1108	23835	31329	7494
3000	70	1086	26967	28722	1755
3000	84	1101	29503	37983	8480
3000	85	1079	30419	36146	5727
3000	42	1103	21154	31539	10385
3000	73	1097	20178	32047	11869
3000	40	1096	24408	31124	6716
3000	26	1107	22552	31805	9253
3000	54	1074	26704	33552	6848
3000	67	1110	24504	31210	6706
3000	84	1094	27172	29227	2055
3000	152	1112	23871	36465	12594
3000	75	1093	22741	31836	9095
3000	99	1093	23827	29642	5815
3000	42	1088	32928	33457	529
3000	67	1096	23292	28279	4987
3000	87	1091	23965	25656	1691
3000	67	1058	22461	28291	5830
3000	77	1103	26086	29488	3402
3000	42	1095	31149	33397	2248
3000	30	1081	21196	27145	5949
3000	113	1087	28360	37482	9122
3000	72	1089	24744	32353	7609
3000	59	1096	26560	29810	3250
3000	38	1122	20576	30694	10118
3000	66	1079	23477	30560	7083
3000	42	1103	24874	35283	10409
3000	53	1086	32922	34735	1813
3000	81	1116	27150	30204	3054
3000	23	1104	25794	44560	18766
3000	67	1108	24029	38388	14359
3000	71	1117	26092	34282	8190
3000	110	1111	24373	30254	5881
3000	83	1106	21733	29341	7608
3000	71	1125	23886	36355	12469
3000	54	1094	26511	29926	3415
3000	38	1087	21965	29251	7286
3000	35	1095	23384	30108	6724
3000	119	1105	19410	30547	11137
3000	115	1099	21420	28948	7528
3000	94	1108	21448	36418	14970
3000	86	1106	31388	36613	5225
3000	107	1130	22580	26717	4137
3000	74	1116	24314	29946	5632
